,P4,Cz,F8,T7
600,-7.575108333426902,-1.015597053626017,-2.7757780459011103,-0.8811963834754319
601,-46.41214990670522,-34.55530620217258,-40.211716910923975,-32.10644374051162
602,-61.3903845719469,-46.29508299551808,-50.22029928670243,-45.257453677399894
603,-54.155321154344975,-35.142269818058075,-35.36417486682456,-38.26150044204093
604,-46.136918174726866,-22.520017300099028,-20.5016684284739,-28.679153926089143
605,-54.80081273503362,-27.900469794881133,-26.595236023788605,-35.373055630415074
606,-63.55987071433548,-34.20975038120926,-35.96996667255538,-43.93087785960137
607,-54.71939747128171,-23.743648635139948,-27.596576960923894,-35.40779314070092
608,-42.6765844620766,-11.707640810089641,-16.838042835625764,-20.041457704035146
609,-46.84078869722666,-16.370144035147256,-26.303940175759443,-18.128776920595424
610,-53.078667033284916,-24.09798183559063,-39.23391077354006,-21.352086400152004
611,-42.61028765532859,-17.835522130039088,-32.883219779283344,-12.602046313544875
612,-28.285873655611006,-10.326636665541898,-21.26781396925614,-3.2949847522404005
613,-26.55517489946449,-16.167459857826593,-24.420158204139337,-9.018439479016038
614,-27.17554579362057,-22.607014532294258,-32.62431340623371,-16.46771174288708
615,-17.635143145233194,-17.147381079902548,-28.104665910776124,-10.413555086452531
616,-10.019672711156453,-12.969874585661573,-22.430754025650035,-5.435884922420401
617,-16.36254360180696,-21.87293103719406,-30.204124025007232,-14.815120627033222
618,-26.380191056169835,-31.30494071966784,-36.11955926991634,-26.533609757951798
619,-25.64315222292668,-27.214426370242897,-26.52880205940043,-26.364948397099937
620,-22.351154397966695,-20.63846132427819,-17.09299074354093,-21.590909357587282
621,-29.999119483616745,-24.275702953924473,-22.39217591845545,-24.51821958560589
622,-37.645117079957394,-26.845865504178448,-28.563334641225033,-27.08285375745804
623,-34.41710588049542,-18.575976549646956,-22.0847852922475,-21.3724603974427
624,-29.2450512243817,-8.972205108324152,-13.110093600524898,-16.26622470727417
625,-30.849885011433543,-9.441172904911058,-14.04322496068158,-18.551991368107227
626,-33.172629638012864,-13.70247651167996,-18.938678301370906,-19.737387755922395
627,-27.36156857489907,-9.938520708853204,-14.905714700062195,-12.291859456167609
628,-20.70247710230956,-5.22376051574086,-7.927544588698927,-5.7498394250043106
629,-22.350861223070932,-9.002601525184422,-10.178958858555484,-8.550363361714206
630,-24.4418082596955,-13.451664298978868,-14.688314938363035,-11.533255603127033
631,-17.838203479527543,-9.891531888095447,-12.15810639907604,-6.873693835883412
632,-8.804673194271807,-5.063732615511704,-9.585112140909306,-2.645123469348818
633,-9.070937991864481,-9.469079492438551,-14.90725292910211,-7.634919706285611
634,-13.89927056012915,-16.598509055672174,-19.66423398651788,-14.89671215959599
635,-12.312168655274082,-14.623099295156324,-16.40555539869355,-14.440588655943625
636,-10.744858107092707,-10.581622546209058,-12.462832189114145,-12.234825973375132
637,-17.19447330537313,-15.326204863380475,-13.30288387659276,-16.180122405133048
638,-24.014957441735806,-21.829699164275098,-14.325420702436979,-20.512803056570874
639,-23.20454465032452,-20.369497895161246,-12.391300952920648,-18.17976062435065
640,-19.99921054888638,-16.042482982863554,-12.212469730840468,-13.075971912695046
641,-21.44806357301099,-16.521162633895077,-15.281638727285737,-10.45859464992156
642,-24.160078355678966,-17.571278791782206,-17.744189306555505,-7.448640350494645
643,-23.228013898018908,-13.279766018929365,-16.714050836207313,-1.946697089136903
644,-20.849223788136918,-6.847559608299181,-12.825944931416553,2.694965627863999
645,-18.499039181711538,-2.5989980414183664,-9.63899634793264,2.689959071794264
646,-14.445167823774707,0.6099975956983732,-6.7457280314344725,-0.20863230719349257
647,-8.894986492215168,4.736115145237643,-1.8166423274060755,0.5885980192357447
648,-5.158919346454276,6.460654530632356,0.8954754463291597,1.5205901517208114
649,-6.293451366347335,1.3087456290954878,-5.004985491905574,-4.239650512861278
650,-8.187166408486465,-5.862325579805281,-12.489782285701999,-9.142411459717065
651,-5.912915549213534,-8.07031691302332,-12.048309170409096,-7.9848526325727205
652,-2.335486328096029,-7.837832582104609,-9.223222464345984,-5.975081514018054
653,-3.3314998097505493,-10.433427549327618,-12.214590088097475,-7.478886212765359
654,-6.885408189120149,-13.56113272647109,-16.608427325552217,-11.253511349649635
655,-5.4097013571926515,-12.15349131371664,-15.745546119472062,-11.49195866917406
656,-1.1257002025314828,-8.9073140143127,-12.894236990242577,-9.405873384470112
657,-0.5435874371558547,-8.378492037767508,-11.327899491502855,-10.161282535296374
658,-2.762114795796432,-9.47260420133826,-9.598106581217124,-11.578253311760413
659,-4.011239417696308,-9.335627517619072,-5.814522637759548,-10.341362854254292
660,-4.850528928418134,-8.341089567215558,-1.8605371176116865,-8.10300150564835
661,-9.360106324499801,-9.463045172795322,-1.8889263124580369,-7.4122638523189135
662,-14.77338298468711,-9.51657928804856,-5.6666821632012,-5.876203145815667
663,-15.878307442174624,-4.931260457757526,-7.484425007475254,-1.0245328454465124
664,-15.571565397997215,-0.15143714005051834,-5.685929818760503,3.9870890395580636
665,-17.040408321387083,2.1566485199906023,-7.692974674108214,6.881078577455555
666,-16.87587909321588,3.018609992083779,-10.89022519137849,7.6650568615677965
667,-11.943223856993463,4.010215185163698,-6.993583559345507,6.441800959372428
668,-6.591242185274725,4.0153395650790475,-2.909891837413804,3.2014939931399793
669,-4.641582018745317,0.007330394426657949,-3.719198264642624,-2.628753141429087
670,-3.4734840243538345,-5.642647730097649,-5.489188846312474,-9.198517512251252
671,-0.9494012926873416,-8.350857660822436,-5.800435107655035,-12.827430021202586
672,1.2431219050396942,-8.828592587339937,-3.299258520442317,-12.985768024346651
673,0.1637905997434428,-12.278656126811981,-2.4414495941348515,-13.926899941788232
674,-3.2537737474638524,-16.20558489873968,-4.906595138761491,-17.00598355916939
675,-4.771052114294418,-14.541648626561873,-2.8119469690530274,-17.04105368203907
676,-4.965444932438542,-11.69635217728149,1.8850144952916925,-13.878543721692685
677,-5.862232956247096,-9.893870792610926,1.6543845214731587,-11.54722392573999
678,-6.6434966549735455,-5.6575512067168745,-0.7445510454226223,-8.43369423726915
679,-6.702770894092697,0.8099825370767003,-0.5309611575104204,-2.887353915046381
680,-6.199703117064434,5.633869046312244,0.19558617902702635,0.262728930844188
681,-6.891128999600619,4.885022772628807,-1.6055859300957454,-1.3936035455760096
682,-7.689299355383432,3.2150008747975214,-2.2816221523545392,-1.7040798235703396
683,-5.785593033595401,5.085399740826974,-1.1329615945756257,1.7498386931537233
684,-3.0549736572483344,6.093382816732381,-1.3211637135216145,3.99201642895855
685,-2.4036805391424694,3.7532838538997564,-2.8765157994967945,3.1051843802684393
686,-2.579732553522879,1.2056158602176659,-4.950706590055508,1.789551195857662
687,-1.0315970788861002,0.2873454150212054,-4.862799391990406,1.1614470843491354
688,-0.2437826482355684,-2.145164374584111,-3.599819051327838,-1.0494016245988067
689,-1.9610785554327506,-6.702242663591362,-5.118174272492987,-5.050522661972411
690,-1.1005077482297567,-8.876732573364077,-7.14933769736865,-6.934858403774584
691,3.4104354185703114,-7.979490245080978,-6.029431285050412,-5.550372611168008
692,5.566541504443451,-6.915805041870009,-3.032427606178295,-3.0051664749243594
693,1.3298736010925882,-8.217087733941288,-2.6403688249566186,-3.0241532084744964
694,-4.468138937942618,-10.053528063424977,-3.847932638132807,-5.209071454188417
695,-5.034646266443098,-7.542881000827141,-2.414951530823437,-3.3983781919274936
696,-3.0081369838497007,-2.104077887758914,-0.8879081726556622,1.4845314532964022
697,-3.399934010129111,1.1311233409958774,-0.28373805680469266,4.010035859448468
698,-4.381559466497438,1.608469691628994,3.024083184757641,5.3053556598375895
699,-2.494872610980348,2.5988408141152166,7.707422331271134,7.8313869507551175
700,-0.5102959600509436,4.407107977352464,8.631849211659958,7.979444524642479
