,P4,Cz,F8,T7
3000,-14.724641568806888,-8.450678289474869,-15.024518567832178,-5.293853924703325
3001,-33.35998379330594,-31.36702378529842,-30.099171836546713,-20.658590703780032
3002,-35.40901023942903,-34.73345476725592,-24.6996094018686,-21.00259866889547
3003,-30.523135941850157,-26.527834400508137,-13.76002074367617,-13.175341425135922
3004,-33.88119558325662,-23.375828666963862,-13.777709197463334,-11.231206898668198
3005,-42.02153791775107,-28.321761676462483,-15.370448821227418,-18.86356280939536
3006,-41.59634579930509,-28.637739733704763,-11.396539691954228,-22.50934446650576
3007,-34.14696153393854,-21.907596841864645,-6.547325920459061,-16.638963532166162
3008,-30.695643442422693,-18.220715547126613,-7.404326512159818,-12.955535050208015
3009,-30.513325901496174,-19.331670283751688,-14.466355514774268,-16.580145287093945
3010,-25.275818626464734,-18.22169549684096,-14.39980950851703,-18.593282791092527
3011,-16.973716338028026,-13.52588302653676,-6.69557743644225,-12.74643270909724
3012,-13.692952650686442,-11.452515934321156,-7.227269041315916,-8.172433972952566
3013,-13.759503067914663,-14.050162229905158,-13.224836208834304,-12.037228442781773
3014,-10.20234383597793,-16.561148966585783,-13.497954529050423,-16.704252651500994
3015,-5.035122956240967,-16.801315107316334,-13.472268754343979,-15.79248200040174
3016,-6.2928504193252675,-20.074428177203533,-18.87427307800624,-15.394119158163356
3017,-11.911597221995928,-25.370927383027503,-24.506145614734553,-20.67448234937237
3018,-12.569556897150054,-23.783686354315105,-23.503366260494726,-23.505141103574793
3019,-11.101594936255774,-18.04452152306773,-18.6661976454549,-19.156418018838142
3020,-15.691225214853105,-17.47697111790042,-16.28262136381963,-14.241716921517513
3021,-22.33318683070522,-19.972398706519638,-15.444416601270271,-12.904743281641254
3022,-22.173660297254933,-17.0724628771124,-11.508057036614252,-12.494299375479676
3023,-16.6832153038808,-10.217171306181147,-7.516529070559667,-11.142963437275231
3024,-14.133123549296146,-7.991013120438691,-10.166319702112299,-12.334689485417384
3025,-14.66067029934247,-9.855842153292587,-17.25422175203656,-15.373616631833592
3026,-12.958970610441561,-8.543139519856389,-20.368021189480274,-13.655717733913328
3027,-10.931489689315214,-3.6242918638053494,-13.65088070871002,-7.445644468423298
3028,-13.317573610597478,-0.3166755604837692,-5.666823561303995,-3.784093437283241
3029,-16.081544382433886,-0.6757719517492318,-0.5801591720803558,-5.508213661735475
3030,-13.097422815668276,-1.4208654615787366,7.50569227712127,-7.862209244835665
3031,-8.241770520007128,-0.2083056321325738,9.681173942542522,-6.603399289802957
3032,-8.877098205612452,-1.9621618493678485,-3.9068090854821245,-6.130324177129285
3033,-12.203687801954413,-7.411899549947553,-18.131739823022535,-7.193475704464389
3034,-11.484103691751338,-9.371984208445529,-15.165113458503487,-5.472319373301597
3035,-8.472942052405864,-7.04156472029124,-3.6642856624426954,-3.46858077781984
3036,-9.064365014769256,-6.043367489014849,1.6243336670101975,-6.129120282887864
3037,-12.722105870524498,-9.572680317345583,-0.17663710990906012,-13.288716577333744
3038,-13.572102690332056,-12.893197390087817,-3.1973467635624053,-15.542723439534441
3039,-11.804099586251738,-10.215987955552626,-2.0759482881074396,-11.326904976775127
3040,-12.688036428944645,-5.563987953928095,1.7826728303990218,-8.818311009775044
3041,-14.565474208025336,-4.29915008907181,8.4730856083909,-8.128738094331505
3042,-11.865827881065966,-3.5150640705469467,11.637395548208804,-6.742873421236565
3043,-8.385780677717186,-0.9539428008280983,2.9460042684690606,-4.832293848991995
3044,-9.55957642574159,0.11199352723450362,-2.8305111444937188,-2.5872964348719094
3045,-12.95835566885957,-1.1233663856029699,-3.217546744482034,0.21127485996466144
3046,-13.439366281889658,-2.3936876949273147,-6.20553839817267,-1.1792584327473072
3047,-9.928923552149072,-2.735761484175522,-6.580447667206297,-7.468804894827512
3048,-6.637448564047462,-2.8047070276874195,-2.1558659810123753,-11.356171883653044
3049,-5.699534375008511,-2.8392036631203603,5.539812800136558,-12.06810420515173
3050,-5.504837954698843,-2.2323980141525723,7.4111034249986485,-10.529430714961808
3051,-5.3525634645906965,-2.3894088818115753,2.7217340692664633,-7.115490960140718
3052,-5.6302777651089375,-5.194519160358144,-0.3017615376938805,-6.043133788073991
3053,-5.418933718487581,-8.76000660356409,-1.5471701360779868,-6.584091901149989
3054,-3.2450554648693446,-8.852025663734661,2.1119150864630827,-3.6504811010516036
3055,-1.9565016470831877,-7.069104340958352,5.643824848438142,-1.3710873191659854
3056,-5.618310336355151,-7.3161151785924545,0.7319903679875288,-6.441867774837834
3057,-9.533363095885953,-7.069629619530868,-4.013728574641756,-10.097514106133241
3058,-8.054273962645354,-4.531762645337745,-1.7041625384748356,-7.184381240120731
3059,-4.424451490295312,-2.3075892921584393,1.6371570486340834,-5.797543570433851
3060,-4.197971449862866,-3.3689630491045035,0.69742259142147,-6.727090191846024
3061,-7.142019771903376,-6.566550208994849,-3.0093337425000586,-8.12540721543106
3062,-7.509521055072684,-6.637278200623332,-4.000844574650337,-7.4710446735247835
3063,-4.930291089233653,-3.925697704284928,-2.3117080580858618,-3.957496304331722
3064,-4.585065242179339,-2.1848025990963547,-2.6749854503687334,-3.8987809153692745
3065,-6.3939823240899765,-0.5292904967232782,-1.7260820392567735,-5.264044711443344
3066,-7.649066844493863,1.198959470121095,5.341301295578846,-4.343195396336955
3067,-8.73282231298905,0.3973883461208402,9.797947333114289,-4.907678373017071
3068,-9.963843980568962,-2.907583977518982,0.18955755721536072,-6.072565947661652
3069,-8.592470248581453,-6.212984700270147,-11.625708848436378,-4.90550411883345
3070,-3.4850302621480185,-7.241088619283759,-12.019258860145424,-0.32650224244435755
3071,0.3421023578537353,-7.021320092621964,-8.72331768006051,3.305384201529033
3072,0.5818327365110552,-7.114816594907384,-6.7944250106789195,3.9068005934224166
3073,0.09842831562374027,-7.711954995401589,-3.8069781223880463,3.677308672832732
3074,-0.0941279988723045,-8.396121091480921,-3.9557630044670775,-1.375824645354088
3075,0.45608595310440797,-7.359803300395778,-4.0852288176689715,-5.771717441041503
3076,0.5606878084221745,-5.576987403584331,1.7696191199557898,-3.9956735899773506
3077,-0.205542334191267,-3.754423702788624,7.827124314690466,-1.5946395090698853
3078,-1.1782517436961495,-2.76795212161271,13.219497433908106,-1.9482357135066417
3079,-4.237904057394486,-3.840606853297503,13.523996325331733,-2.928390009662979
3080,-7.6087306676985555,-4.003513625615389,4.317381780703903,0.5553423108991864
3081,-8.586268008173697,-3.6001295342023405,-1.3769337556049472,3.6315958035615274
3082,-8.275000208702934,-3.7134333459620694,1.04481713411026,1.5041548046339348
3083,-7.418397821652268,-2.4812865652303864,9.840607039900158,-0.4957187670519003
3084,-7.939447805936631,-1.9182339052160224,15.493864658887555,-0.6686380584479558
3085,-10.23501645317267,-3.52382859288585,2.2124504819061523,-0.43117302982310457
3086,-9.701429336737982,-4.488422438155194,-11.77856517791255,-0.10400908956381572
3087,-6.127262819998453,-2.964036369618201,-9.484370275924231,-0.1783007672212591
3088,-4.414135392196933,-1.2853148637573466,-1.8816732522241906,-1.8965934770713122
3089,-3.824606044821842,-1.6173679864647654,5.853233571641659,-3.2978189958782425
3090,-1.5298149284365676,-2.503809970715294,9.17208351817672,-2.3079652125764514
3091,0.6749032178741075,-1.1909767898613088,6.301356690917233,0.03399265202755822
3092,1.4377325155499716,0.9303124235661908,5.251627091620369,0.5629026783475883
3093,1.7356470118284721,0.9789916018196391,2.8205897812371177,-3.380672311693946
3094,2.8148813433939552,0.3018479172702789,-0.6835174145436961,-6.383510035272445
3095,4.839518624940898,0.6947169501909777,-0.42072532243817734,-3.342948620319082
3096,7.027831423435357,1.9616669864789613,-0.11653281886477496,-1.2820622672871418
3097,7.6306982136974515,3.2770969745891554,0.11585836899706058,-5.459149986083369
3098,6.262256731451793,5.020732350272554,1.4660582511827231,-8.413917444831325
3099,5.328225836588784,7.375192436484851,6.028962967807757,-6.906578973702947
3100,3.6496601486755784,7.650728714234806,10.8231156980258,-4.326512250595882
3101,-1.3043344079390193,4.1808320302664095,12.051911742246324,-1.1627429781955265
3102,-5.610145877586615,1.7102775923245088,12.448050661720112,2.447294760470257
3103,-5.655323885852366,2.941096873085988,13.073392531101103,3.7033006096081764
3104,-3.5525031831406535,4.468776263269002,16.14850483774223,2.7517014031374014
3105,-2.289106487958974,3.210214808763104,15.072988026522477,0.6745313410347549
3106,-2.165707456568908,-0.22983185361651026,6.5711614472059185,-2.7425869228131052
3107,-1.505081042159612,-1.5315725667230873,4.821489236561087,-3.157963495680816
3108,-0.7648911271251055,-0.17778302442918045,7.642865376932686,0.7773776373860966
3109,-1.3437882149387443,0.1723774169649485,6.071839111188837,3.094220542420973
3110,-1.7317331477368074,-0.08385373246775152,5.854212768739286,2.0964667768613645
3111,-1.6119964178211792,-1.442669630816976,3.1494405828969683,0.8615318076688399
3112,-2.5238551443494206,-4.688890126553947,-4.57513118433871,-1.6205106008400187
3113,-1.9216789058234938,-5.241961519128551,-5.907984361437776,-4.31518733540791
3114,1.405641157863886,-2.531137614201707,-0.7048813272067367,-2.36259954636493
3115,2.9315716643788168,-2.2072444545620056,2.4986566239903163,0.23725409007896522
3116,2.5457094031590555,-4.613862559670595,4.9136621592231275,-2.899551644040216
3117,3.260381204918196,-5.645296129838746,9.399695887420739,-6.9932208702446275
3118,3.2040433230950356,-6.388504114842994,5.261098223453605,-8.344027664143372
3119,1.6066369448264384,-4.847352881518726,-2.692111137803855,-4.297264500527799
3120,-2.821005041511201,-3.2097125485966544,-3.6845724323761395,-0.3188579701032471
3121,-9.547855104381545,-6.194863970719326,-4.867471143691293,-4.2829538601290515
3122,-12.314496402807677,-7.135759431376935,-3.4556709403408865,-5.855341060728256
3123,-10.131407343942259,-4.250029194194669,-0.3376443073508257,-0.3095882202314618
3124,-7.558702023310747,-2.5696652399984172,0.13472416655486852,4.181022478687752
3125,-7.03845162231309,-4.12888995666181,-0.57395520127091,2.9246344644622213
3126,-5.947663146813184,-4.856042495974972,2.733444783154585,0.6870560688410376
3127,-3.8323805482210673,-2.8495444869984397,7.04549879418409,-1.788095936436479
3128,-4.205737220586842,-3.2638053084802343,0.5862929835746974,-7.041646155782546
3129,-3.9844056956053135,-3.9612791274210113,-3.376087324944506,-8.743161518254585
3130,-1.248826075207673,-1.9855912820821924,0.3167668252884713,-4.882978941020324
3131,0.29341910927497844,-0.9825433667162613,-2.030424756987946,-0.6326131095258702
3132,1.25198329292938,-1.4780653872574552,-5.105782488393275,-2.3185989231832367
3133,2.829466512747935,-0.8768204665808979,-6.240796056735208,-2.920082932225542
3134,3.9154073737371036,0.9796324938040641,-9.265714154975647,0.6620176949934047
3135,4.019578502528291,2.384011303536406,-10.497951203060289,-1.3944922615951276
3136,1.6045993966834873,3.7097136313381833,-9.57439533203566,-1.2273438112002448
3137,-2.6506682007976017,5.264972530317761,-8.635049275466871,6.39994693040686
3138,-4.417203999235528,6.357402502371156,-11.504394321653509,10.079015106056268
3139,-3.5991895984870124,5.8338916258129805,-15.692617721597768,7.163265116716171
3140,-2.825965273474699,3.411909084238718,-14.286942945163716,6.175970100346295
3141,-2.683843139366916,1.2697447884588526,-10.074607978378687,8.82923707019804
3142,-3.781831319016061,-0.43320918547272985,-6.925647388366029,8.76142811246628
3143,-5.071826592470182,-2.0757486158400145,-4.482218248006013,7.2818078246423426
3144,-4.855876332040317,-2.69424378487704,-5.10728852891215,6.194642770355494
3145,-3.3619576064756096,-2.348739896835852,-7.304325617123232,1.920928380155103
3146,-1.0872460782544544,-1.2456663651003128,-3.9954092941513872,-2.4848238053027525
3147,1.7008931223947257,-0.8666650854498867,4.627264952617246,-5.746517080526632
3148,4.74676056166602,-0.9368585586592586,9.24740522212454,-6.845375067273112
3149,5.888756415045759,-1.0035507203481209,1.9271461575372455,-5.407637674125591
3150,5.771509799846174,-1.0651072216374766,-9.442973246849908,-1.7885982171105392
3151,6.106119948260575,-1.2931827653059045,-13.201920700843656,3.5883576368611787
3152,4.92172408535878,-3.3431389765194854,-11.6979351554927,2.714838859440269
3153,3.8442575217136934,-6.415702339472099,-8.552899182048794,-2.2997874833158694
3154,4.087804167323192,-8.800620840497473,-8.130823347685677,-3.7532884403065605
3155,4.39672170712492,-8.642790915789357,-12.909728021167092,-1.5597505365223343
3156,4.103555019785434,-7.346449504308812,-17.65348318362573,-0.16701878515381136
3157,3.4920400001222953,-6.931728994983786,-18.496179555992825,2.180212213686231
3158,4.037443918069921,-7.154924253998431,-16.848203040055154,3.835756006250232
3159,2.93505890691232,-8.878319519481542,-16.85915857288116,-0.6508916690048905
3160,-1.3874964689325178,-10.774916835437773,-15.937402251664748,-2.3117529328410273
3161,-5.424887832064979,-11.159449704979234,-10.320213021895485,-1.2025016561537707
3162,-6.726028889912011,-10.753078314951617,-8.529213773643097,-1.2568372828844019
3163,-5.706170923434742,-8.935907560694794,-12.149535882282398,1.1025647480971865
3164,-2.770134712285776,-5.065624724196339,-8.93331757277612,3.886088444101791
3165,0.11720538248836104,-1.6705151237830054,-2.213602763699132,3.0158746449985663
3166,1.121531671601992,0.4460368014700156,1.1725707347218133,-1.0702075125296358
3167,2.934479244189153,2.1743864517918783,6.164223004851223,-2.4449966404127963
3168,5.455133617573325,2.341273763041851,8.81648979898228,0.14986706354635476
3169,6.439174589452842,1.976811409545412,6.320068997923159,1.1865381883187027
3170,6.355315191752728,3.329670138915164,9.878225082167935,-0.5783819215856316
3171,5.099663825140992,4.425818634696581,13.551641015299202,-0.7883563909143989
3172,3.019054147832288,3.5516454396405974,3.055664699131495,0.4641404651990701
3173,2.2085367805023095,2.646619687661875,-6.841009710398682,0.29638636211786973
3174,2.5505267039513124,2.112195124124707,-2.762539852398364,-0.25345724897210953
3175,1.6319295557482913,2.8613260494235773,7.366737681737849,-0.7058719695511035
3176,-0.10104176252923691,4.215918169492602,11.2576961746853,-1.0367810564092403
3177,-0.43099795542271213,3.6113733469409826,6.681291127001902,-0.9363590539986908
3178,-0.6376011992332322,2.6597055224911106,2.1251302584835963,-2.1737340045797033
3179,-1.1217691355188126,2.0590195949874253,-0.6663647468109477,-1.6798012024949283
3180,0.4800940744649052,1.9823876890729246,-1.5777241719957735,1.4806264004273757
3181,3.2687423123944304,3.728334380977136,-1.6587528746436309,3.6757463104271246
3182,1.859868745737998,3.0045030938576804,-1.096545635777217,4.401996000094437
3183,-4.081181735335855,-2.392555402150371,0.2987221063275572,0.1653978979221252
3184,-6.190550590720743,-3.6386831300345372,-2.006040959785654,-5.396222656458658
3185,-2.7211113915380083,1.8328712625786077,-1.2377000629320767,-3.65865252478326
3186,-0.9536523414516157,6.285237335349212,1.1350095378858238,1.120988349197245
3187,-2.172493180957524,7.817659677161616,-2.0557934363023964,3.5946298227986557
3188,-2.74324869558096,8.046119141606745,-3.572224707980621,3.916165588452234
3189,-3.860066453144161,6.161594051018536,-1.88822101444759,3.1915137810891228
3190,-5.764918455980382,3.542431732043376,-1.0164404316920597,3.7587369167023224
3191,-4.784224028390382,2.9085394062576913,-0.43984233570481523,4.630204093415321
3192,-1.6875689975660215,4.65575500990567,3.0900203967932978,3.570464316474229
3193,-0.058073308993734314,6.976810365568333,3.5724990024658476,3.63972433024507
3194,1.7337823130461958,7.454778596585626,-4.234619196149443,6.131065077480118
3195,4.439897217867103,6.052668659704414,-10.921207302665529,5.720132863194618
3196,3.9366073803623793,3.352976979532357,-12.939362382906115,1.0496026638071934
3197,0.2034281148820689,-0.08296873026676116,-14.789780929266334,-3.421835186442997
3198,-2.475130989328501,-2.6718482228897633,-14.414735820783784,-5.707940931069379
3199,-2.083224935331793,-3.9351123985620706,-8.520941219989144,-6.192716213118643
3200,-1.1965946011658752,-4.077693814263037,-3.96373675545508,-1.324028056712614
3201,-2.5081501031108586,-5.0934927428354575,-5.320897136360947,7.453964207828389
3202,-3.9912120849188533,-6.6168970372658995,-7.303094300987206,14.313142906059934
3203,-4.839928333300825,-7.79581269021155,-6.5822158771777675,14.203540707897002
3204,-7.256097585253033,-9.818603805298451,-4.510786949735988,4.042345494584516
3205,-8.685183171871966,-8.439514820063753,1.1260835766257846,-3.804435707161757
3206,-7.315607767289303,-4.827909077289122,6.3749178563149655,-2.320232113203484
3207,-6.178700979448441,-5.814537389973563,3.818194462703522,-1.3396127074089295
3208,-5.360653253148735,-8.826638240703197,-1.7605053282728647,-2.615587120330212
3209,-3.565369664467025,-8.092427736277125,-4.52306859829479,-0.2348265819912438
3210,-2.1231434045169575,-5.383459681129182,-4.281352480381732,0.16887290345178274
3211,-0.5554658652782376,-2.7205087635653125,-2.2725455856539805,-0.3954555523678569
3212,0.7826999765922367,-0.1665240281119153,-1.4043035540043691,7.097231769932714
3213,0.5232723725176891,0.7544812434816516,-3.2131352523035357,9.76324302247282
3214,0.45864583824575067,2.120142372812092,-2.6125666917783765,7.336526052807482
3215,0.3451230199066012,2.970776204866145,-5.186509809393986,7.78854485612573
3216,0.7484795892218425,1.065714547310931,-10.770212634432633,3.0948238163998747
3217,2.76881188637694,-0.9966877081647743,-10.539005211651427,-2.4264897725072414
3218,4.948040699047196,-0.4408547263249868,-9.990829449538168,-2.5039932325853824
3219,5.251572029176702,1.8084363801759227,-8.44141846612584,-0.012119693576849055
3220,2.4370681233315006,2.7693642445557303,-5.242225663943772,2.5703298659058205
3221,0.03467702443308546,3.754279832003468,-4.013262774518286,3.8072961315014333
3222,0.5153937164794988,4.465816345230693,-4.91180519621302,3.080154103548609
3223,1.771175324560236,2.42407636708615,-8.0515085665888,2.304567323774458
3224,2.8688611046284693,0.17238900233866739,-7.204971493272936,3.6081177343605786
3225,3.164250752275174,-0.12434625051153442,-2.0175364262890847,5.250058525743594
3226,1.6519028760603334,0.37364751953020264,-2.2897989206552944,4.157265381717984
3227,-0.20947293966777547,2.3125072694411313,-7.0630495215667795,1.2801544985305344
3228,-0.5909140040473269,6.5613698115860375,-5.591620511678152,0.5587266213604086
3229,-0.9559231217947892,8.264335249826884,-1.6085467795316697,1.4089154853095163
