,P4,Cz,F8,T7
1000,-14.441297465627082,-22.20597629413745,-19.346172737704915,-11.159300127754515
1001,-45.32011552698408,-57.60595592118708,-56.23565176503199,-39.387895878788726
1002,-51.27367052167193,-63.09687450102498,-65.6239589564531,-46.03376208802533
1003,-37.39796330276045,-47.13800672984705,-50.285235180293995,-32.422613213432214
1004,-31.06556411074666,-42.86565198072556,-44.76168569719779,-24.47012981014451
1005,-40.57452744890013,-56.743830820747235,-59.35393983525797,-33.6776083306511
1006,-44.458414649955905,-59.78128577028967,-64.65380234840256,-37.39034947820576
1007,-34.65594979822742,-44.29153595467032,-50.387059015308886,-25.948108348713404
1008,-30.086739040045362,-39.38083567306321,-43.84549817888306,-20.19044110170592
1009,-39.37791954697331,-52.45351080296303,-55.30767481575126,-28.120330487351016
1010,-44.30534523966369,-53.77539711008063,-57.9511647133632,-30.48324571012521
1011,-35.64372125047839,-35.75248629344263,-42.34804333153619,-20.185532410385473
1012,-29.490406383897973,-26.86625386211395,-34.762227496313514,-15.356490237647593
1013,-34.16436166646856,-36.91734003598092,-45.739185262580264,-23.422105328820194
1014,-34.282842309980374,-40.09401286923925,-49.19026976448051,-26.809150514299148
1015,-21.600220765584965,-26.702168990468728,-34.90758980888374,-16.768612303709155
1016,-13.91934550643564,-23.69287186230261,-28.3591025169676,-12.78613008437339
1017,-20.770088200062567,-37.96787999971496,-39.88151444211824,-22.897354929405434
1018,-24.700346018261023,-41.18771462845589,-47.70150878110286,-27.334837821627474
1019,-15.741830053805781,-26.677217925446364,-37.18891556456726,-18.16595433463543
1020,-9.847134003042612,-22.570685335939125,-29.11891559091952,-13.916227900839901
1021,-16.41020875478372,-35.34804850738074,-36.11126042674138,-23.187402879621008
1022,-19.500464195619966,-38.539912495823465,-37.04542072179173,-28.555398697828693
1023,-11.782573599811068,-27.358902442013367,-27.136673624929394,-21.726467526718366
1024,-8.769687243533996,-23.658219848687306,-24.33135733628827,-17.093891245111855
1025,-15.843112376957944,-32.830147318101744,-32.333244577749745,-21.128339477153013
1026,-20.57365423784836,-35.61620224301755,-36.40364120096094,-21.59002839221798
1027,-17.74523350940647,-27.171588767341433,-29.984956566108313,-14.742056506886659
1028,-17.34594283500895,-25.974036115642356,-25.31085408289077,-12.51426688874379
1029,-24.842217626374328,-33.78213886649514,-30.026822930483405,-17.133157476995056
1030,-27.92423009335802,-33.6916159710557,-30.52676254664828,-17.927217241303147
1031,-20.183008635833655,-23.36353643998775,-19.34670570082216,-12.436926916473851
1032,-16.299060317167935,-19.183685107485363,-12.803917336874957,-10.633413964388977
1033,-21.06342353892319,-26.484152566388367,-19.33238970840791,-16.580949505809745
1034,-19.162453391129624,-28.38845332709241,-22.33895751436533,-18.799016469744224
1035,-9.477670018639637,-18.762952938362794,-13.558453395241337,-12.290190521048881
1036,-5.77982916944974,-13.769894045954327,-8.886576061227117,-9.11267168634954
1037,-9.864305540972484,-18.851046690071925,-16.176995761422372,-14.390157280120782
1038,-12.039492022970657,-20.622358675252155,-21.20595201409312,-16.410736443420745
1039,-7.028553587088757,-13.671633285155439,-16.325808234694268,-10.070494665376144
1040,-3.4724986401798494,-9.215297734036572,-13.234201525064218,-5.1757213300573355
1041,-7.455998715889187,-14.823368066896245,-17.768865715604843,-7.522464299161928
1042,-11.400794152973736,-19.64767247743729,-19.802117435415088,-9.833633930289023
1043,-9.969415630221373,-13.92347108424346,-13.610117468814947,-5.101685431126228
1044,-8.328221159913408,-9.988540972763145,-10.907642452045144,-0.8553242157316583
1045,-10.792275695852194,-15.21373704633381,-16.152015068082672,-3.2741749883924705
1046,-10.858632434902905,-15.677733782289977,-17.791472095585604,-4.298875099898
1047,-6.921072765539561,-8.74315421628042,-10.677427948392271,-1.0657510496017313
1048,-7.171334109896869,-7.243721702329347,-5.168784638470013,-1.2772745550957967
1049,-13.965592907708839,-13.413836532903767,-10.267308680409238,-6.815166599091331
1050,-19.291500872781754,-16.718992775192337,-15.394643969295071,-10.26670260272717
1051,-15.643561222437716,-13.351398858656252,-12.037669115674866,-7.605422821145575
1052,-9.423287320509349,-11.580762465857198,-9.806950869541458,-5.734425986199875
1053,-10.80639986825411,-14.89090478126705,-11.740087452165438,-9.499933303511602
1054,-14.96808605329234,-15.648128585981404,-11.201411856758021,-12.276796572827308
1055,-11.665945461704299,-10.309451942980559,-7.952824692220341,-9.627412259325967
1056,-5.336147003351645,-7.45528007543006,-8.15225039225794,-7.806918393498812
1057,-3.7140484630156054,-11.33894640021928,-12.27823481318262,-10.738929806431402
1058,-2.713242623799987,-12.929885023699462,-11.25058463907111,-12.597341377733558
1059,-0.5433214238328892,-8.42347250031801,-7.112376250858988,-9.815914967815017
1060,-2.1684088082780475,-6.826404749057815,-6.955896794396773,-7.966415862910542
1061,-7.179928571173303,-10.638917377070248,-8.840347308129973,-9.409803605644592
1062,-9.14704990373339,-12.155036492814007,-9.154006765391259,-9.398111950413899
1063,-6.941696367094897,-9.356622594113148,-7.486537753934174,-6.716968721762644
1064,-7.3741728782590785,-7.788314938891274,-8.555269212976452,-4.778020406047423
1065,-12.114424213279275,-8.9212302038922,-12.432684730636975,-5.081876058819952
1066,-15.154657248586968,-7.906922416107596,-11.455721194940462,-4.396041545619686
1067,-13.771978698749901,-3.942472332169481,-6.571490179809688,-0.7633263853457862
1068,-12.807917382165732,-3.261353298686984,-6.687497031627655,0.6108671387413516
