,P4,Cz,F8,T7
4800,-8.563601806072997,-6.984484951632691,-6.671245207454144,-9.72821779069882
4801,-41.182482017426075,-50.140152144645874,-39.48271171391496,-46.54849411328228
4802,-52.8408726781652,-67.46393437628097,-52.32746506111593,-63.469439231611354
4803,-45.013927788583715,-60.1277022696686,-44.07140713108543,-58.070043416655686
4804,-35.5924779689028,-49.186382833106094,-32.5000692862812,-47.61270634931801
4805,-42.87391294087795,-54.499302346859075,-34.98044490444272,-52.73863873341647
4806,-52.326347457235286,-61.150527641832774,-40.802424627868945,-60.88119389378388
4807,-44.619741656493865,-51.80649777300866,-33.18231098542138,-53.756808998466944
4808,-34.61566334469184,-41.368601799023715,-23.39096195081195,-44.480832446187044
4809,-40.05416261788399,-45.66283015638299,-29.146901358985794,-48.23391101492548
4810,-46.48700215769607,-51.7849189254902,-36.43870248453939,-51.94671055145997
4811,-39.58234603743586,-44.167920694202365,-30.171288160409077,-42.69376272513048
4812,-30.36593004140406,-32.39933485437543,-22.05833852802241,-31.007342225066687
4813,-33.90666641970854,-35.1615589650347,-27.62441040383821,-33.249799429846654
4814,-41.29489990265021,-43.430362227734676,-37.21653778711626,-40.34970352781113
4815,-36.68311878289164,-38.85655262922373,-33.27753085377443,-34.1894790378264
4816,-29.326620664110205,-33.223754064980355,-25.45077173494144,-24.537736284789005
4817,-32.9263283906323,-40.49106351847201,-29.410004154236876,-27.56559608674746
4818,-37.89011401589492,-47.96081851742524,-34.151419111251485,-34.079449910655825
4819,-30.710592902939876,-42.23287550594202,-26.109996596684468,-30.328632843485046
4820,-21.101283014048605,-32.61355376523592,-15.732565531198084,-24.614565236535224
4821,-24.303287720046363,-33.85970658279038,-16.894950354380246,-30.418722663059036
4822,-30.45053572627729,-39.854087832428824,-23.557957548391208,-39.17750101205126
4823,-25.349495053123878,-36.623023169748684,-21.755284708971864,-35.72460210056831
4824,-19.46745511122597,-30.696798602269293,-17.764782920083867,-28.418609408889555
4825,-23.78828731736061,-32.905012532321805,-23.806047894561335,-29.99797473762805
4826,-28.18269601335612,-34.08958393431086,-28.20888181344451,-32.79227273864834
4827,-21.926762082478458,-25.12022443189519,-18.644551946913353,-27.234063914875524
4828,-14.960162335053734,-15.906647621775596,-8.873643417689298,-20.555196682617776
4829,-18.74147653698401,-18.217751606060236,-13.033839596501355,-22.69844701869853
4830,-23.995139064634508,-24.15550345327246,-20.220931518458983,-26.65118378244358
4831,-20.72903014379061,-21.44348378328945,-18.445730193021458,-22.00149639574307
