Language of the song,Title,Artist,Copyright Information,YouTube Link
Italian,Hallelujah ,PAKO Pasquale Lillo,No Copyright ,https://www.youtube.com/watch?v=QAEaXvamqik&ab_channel=PasqualeLilloPAKO
Arabic,Ya Elahi,Khaled AlShareef,No Copyright,https://www.youtube.com/watch?v=SZihUDgTKyk&ab_channel=KhaledAlShareef
Latvian,Aleluja ,Valters Gleške & Prieka Vēsts slavēšana,No Copyright ,https://www.youtube.com/watch?v=zcgyXyaY_rk&ab_channel=PriekaV%C4%93sts
English,Hallelujah ,Jeff Buckley,"Licensed: Released  in August 23, 1994",https://www.youtube.com/watch?v=y8AWFf7EAc4&ab_channel=jeffbuckleyVEVO
Urdu,Hallelujah ,Haroon Gill,No Copyright,https://www.youtube.com/watch?app=desktop&v=fXLaL-ZhAqM&ab_channel=HaroonGill
Neutral music,Super Deep Meditation Music,Yellow Brick Cinema - Relaxing Music,N/A,https://www.youtube.com/watch?v=aIIEI33EUqI&feature=youtu.be

