,T7,F8,Cz,P4
2000,-147.35580444335938,-235.90914916992188,272.96780395507807,193.26681518554688
2001,-148.8517608642578,-230.97622680664062,262.62698364257807,181.5721435546875
2002,-139.64785766601562,-228.1675567626953,271.75234985351557,192.28695678710938
2003,-121.2699966430664,-222.25851440429688,280.46258544921875,204.65106201171875
2004,-144.0908660888672,-235.2397003173828,264.87094116210943,187.9561462402344
2005,-149.10232543945312,-248.75196838378903,253.8606719970703,179.8256072998047
2006,-133.2900390625,-234.86572265625,263.06082153320307,192.7320098876953
2007,-125.07721710205078,-225.37759399414062,277.10787963867193,210.77328491210938
2008,-143.42141723632812,-236.78802490234372,261.69577026367193,195.3873291015625
2009,-159.46185302734375,-244.2416534423828,253.32960510253903,187.0922393798828
2010,-142.3162841796875,-225.69921875,266.94097900390625,200.0584716796875
2011,-138.68110656738278,-218.73553466796875,282.0202331542969,212.4375305175781
2012,-153.5546875,-229.009033203125,269.64117431640625,199.74432373046875
2013,-162.5491485595703,-228.9716339111328,263.51522827148443,186.54995727539062
2014,-157.09262084960938,-233.8559417724609,271.3016967773437,201.6554107666016
2015,-148.4160614013672,-223.39170837402344,281.14511108398443,215.9380798339844
2016,-157.4366912841797,-229.7944183349609,275.61004638671875,199.9387969970703
2017,-153.10963439941406,-238.8898468017578,264.34548950195307,187.5111083984375
2018,-132.73466491699222,-241.36566162109372,272.1207275390625,191.6698760986328
2019,-113.5527114868164,-236.2120819091797,276.16729736328125,204.3668365478516
2020,-125.6924285888672,-242.30812072753903,265.53475952148443,194.923583984375
2021,-151.39675903320312,-244.17807006835938,256.7908935546875,178.71485900878906
2022,-140.67446899414062,-232.5843811035156,267.45333862304693,190.0504913330078
2023,-133.29563903808594,-222.61753845214844,280.9468994140625,204.72959899902344
2024,-141.26162719726562,-230.59849548339844,271.81033325195307,193.76422119140625
2025,-153.3003692626953,-241.0365447998047,255.10044860839844,178.36331176757812
2026,-146.0449676513672,-229.7757110595703,265.02987670898443,191.696044921875
2027,-137.76483154296878,-222.2846984863281,275.73345947265625,204.99887084960938
2028,-161.40098571777344,-233.6652069091797,265.97607421875,191.5726318359375
2029,-171.91758728027344,-230.22450256347656,264.02011108398443,187.70184326171875
2030,-160.5819549560547,-231.70550537109372,265.28793334960943,198.1548614501953
2031,-147.72044372558594,-227.35226440429688,278.1419677734375,216.10264587402344
2032,-145.8467559814453,-240.44564819335938,271.1932373046875,207.564453125
2033,-144.47421264648438,-244.45855712890625,268.74734497070307,195.0507354736328
2034,-131.51919555664062,-237.1582794189453,273.32870483398443,199.14593505859372
2035,-127.27440643310548,-230.5386505126953,280.38217163085943,210.6610870361328
2036,-136.42593383789062,-235.7894744873047,277.8839111328125,198.5924224853516
2037,-152.7506103515625,-239.55929565429688,266.5370483398437,183.5991668701172
2038,-134.0885009765625,-232.99203491210938,274.86209106445307,197.48167419433597
2039,-135.98089599609378,-227.318603515625,280.06427001953125,206.4163055419922
2040,-140.00875854492188,-239.46578979492188,271.6270751953125,190.46188354492188
2041,-153.5920867919922,-236.61599731445312,266.9447021484375,180.2295227050781
2042,-148.83493041992188,-235.5501251220703,270.05255126953125,186.03384399414062
2043,-147.61572265625,-217.51258850097656,284.0098876953125,200.4698638916016
2044,-149.85218811035156,-236.6870422363281,269.05401611328125,187.4512634277344
2045,-162.09288024902344,-241.8742828369141,264.83541870117193,186.2806701660156
2046,-145.07632446289062,-242.70828247070312,269.91046142578125,201.43101501464844
2047,-126.1374740600586,-230.95004272460938,287.1925354003906,214.1354522705078
2048,-146.11227416992188,-240.43817138671875,274.64141845703125,203.16632080078125
2049,-155.99684143066406,-244.0957946777344,265.74420166015625,191.8194732666016
2050,-146.49000549316406,-235.92784118652344,281.68365478515625,203.03543090820312
2051,-128.50857543945312,-231.57833862304688,291.5420227050781,212.3365631103516
2052,-135.98463439941406,-233.68017578125,282.9140930175781,193.1770477294922
2053,-146.96498107910156,-242.92893981933597,272.6480712890625,178.31094360351562
2054,-137.5740966796875,-235.31076049804688,274.1889038085937,182.40240478515625
2055,-135.01225280761722,-228.8519592285156,286.2949523925781,196.9618377685547
2056,-147.96726989746094,-228.6612243652344,275.16500854492193,179.93032836914062
2057,-158.22955322265625,-240.22125244140625,274.368408203125,179.3207244873047
2058,-146.92758178710938,-234.61888122558597,280.89828491210943,193.88389587402344
2059,-139.84046936035156,-234.4805145263672,287.18505859375,206.3975982666016
2060,-132.97775268554688,-242.3754425048828,278.43740844726557,196.1502685546875
2061,-145.1137237548828,-245.9470367431641,269.78701782226557,180.6633453369141
2062,-142.96702575683594,-233.11544799804688,271.92251586914057,192.66842651367188
2063,-138.40060424804688,-234.29351806640625,276.5599975585937,200.2866058349609
2064,-142.3611602783203,-234.29351806640625,270.4190673828125,194.2616271972656
2065,-154.16429138183594,-247.1924285888672,260.59060668945307,181.32530212402344
2066,-145.80935668945312,-230.6695556640625,268.34344482421875,196.77110290527344
2067,-127.3230209350586,-222.92420959472656,281.65374755859375,205.1933441162109
2068,-152.13351440429688,-228.5527648925781,272.58447265625,191.37815856933597
2069,-160.31268310546875,-231.4923248291016,262.07162475585943,179.85926818847656
2070,-154.8187713623047,-226.1816711425781,274.19638061523443,189.4558563232422
2071,-139.41412353515622,-224.3790435791016,281.72479248046875,204.2957763671875
2072,-152.62718200683594,-231.10337829589844,274.15896606445307,192.0064697265625
2073,-154.87860107421875,-237.319091796875,265.56842041015625,183.46453857421875
2074,-140.46502685546878,-235.69223022460938,272.5433349609375,195.31626892089844
2075,-134.04362487792972,-232.1094055175781,274.95932006835943,211.3866271972656
2076,-129.36126708984378,-227.8683624267578,278.770263671875,201.83865356445312
2077,-146.66952514648438,-235.6211700439453,262.61764526367193,184.15267944335938
2078,-134.81404113769528,-235.39678955078125,270.14605712890625,193.30795288085938
2079,-122.49107360839844,-222.0041961669922,278.70294189453125,208.34608459472656
2080,-140.3154296875,-233.3361053466797,266.12567138671875,192.75070190429688
2081,-155.4059295654297,-238.2241516113281,261.50689697265625,181.97979736328125
2082,-143.46817016601562,-228.1712951660156,275.53524780273443,193.37901306152344
