,T7,F8,Cz,P4
2000,-113.89491271972656,-245.9863128662109,257.92593383789057,224.36968994140625
2001,-139.01956176757812,-255.11166381835938,243.1608123779297,204.09194946289062
2002,-152.92825317382812,-255.66143798828125,235.7071990966797,199.00942993164062
2003,-135.75088500976562,-242.4296722412109,249.9898681640625,218.7149658203125
2004,-122.28350830078124,-234.7366943359375,265.70492553710943,227.2269744873047
2005,-133.56678771972656,-247.1195068359375,259.208740234375,215.7828826904297
2006,-150.92739868164062,-248.88473510742188,257.54446411132807,209.50732421875
2007,-140.08543395996094,-239.5611572265625,269.97964477539057,218.5990295410156
2008,-135.91545104980472,-233.18089294433597,274.41140747070307,237.26112365722656
2009,-141.79083251953125,-242.29129028320312,260.12127685546875,212.4244537353516
2010,-144.2236328125,-248.87164306640625,254.12432861328125,205.5692138671875
2011,-126.04397583007812,-240.93931579589844,262.21746826171875,220.4876708984375
2012,-119.9928207397461,-236.6309509277344,272.36007690429693,225.45425415039062
2013,-136.09683227539062,-252.68634033203125,256.77590942382807,206.4144287109375
2014,-146.8565216064453,-253.40440368652344,246.30419921875,194.8431854248047
2015,-127.42774200439452,-252.2824249267578,258.30926513671875,218.0642242431641
2016,-113.01790618896484,-244.0172576904297,267.9096069335937,222.817626953125
2017,-129.09947204589844,-255.72314453125,251.7046203613281,207.5999755859375
2018,-133.09368896484378,-258.3373413085937,245.22711181640625,197.2217559814453
2019,-122.76034545898438,-249.9636993408203,254.54319763183597,211.5680084228516
2020,-115.78543090820312,-240.546630859375,263.63116455078125,222.9896697998047
2021,-136.79618835449222,-254.5637664794922,245.6385040283203,205.78237915039062
2022,-140.93252563476562,-260.58502197265625,240.2754821777344,204.06202697753903
2023,-138.09767150878906,-250.1993103027344,249.1390380859375,218.43446350097656
2024,-130.5318603515625,-243.15707397460938,256.33087158203125,229.16424560546875
2025,-143.4980926513672,-250.77525329589844,247.5346221923828,213.10885620117188
2026,-145.1997528076172,-244.8101043701172,249.84214782714844,208.8565826416016
2027,-136.17910766601562,-245.0756378173828,260.3250732421875,214.7618865966797
2028,-120.93527221679688,-242.7868194580078,270.66592407226557,225.4879150390625
2029,-137.44692993164062,-257.62301635742193,257.0264892578125,200.9990539550781
2030,-136.83732604980472,-258.68515014648443,246.29298400878903,192.6029815673828
2031,-117.73391723632812,-247.8244781494141,255.9307098388672,203.22802734375
2032,-104.00474548339844,-240.3671112060547,268.12277221679693,217.76129150390625
2033,-122.93985748291016,-255.01255798339844,245.10743713378903,198.9271545410156
2034,-135.90235900878906,-258.72628784179693,242.3062438964844,193.07794189453125
2035,-131.54911804199222,-260.1810913085937,243.8882293701172,203.4262542724609
2036,-116.15193939208984,-253.99530029296875,254.7414093017578,216.2952423095703
2037,-124.92200469970705,-261.217041015625,240.963623046875,197.00857543945312
2038,-134.9449462890625,-261.2133178710937,229.45594787597656,190.12342834472656
2039,-127.45765686035156,-246.70623779296875,237.6500701904297,205.6215667724609
2040,-122.25171661376952,-241.720947265625,249.8832855224609,223.8872375488281
2041,-144.2198944091797,-249.8028717041016,237.5266571044922,207.92161560058597
2042,-151.2135009765625,-250.9248504638672,238.5401763916016,202.69322204589844
2043,-144.91177368164062,-244.1107482910156,250.00669860839844,219.65740966796875
2044,-129.37623596191406,-242.95138549804688,255.5567169189453,231.70362854003903
2045,-152.13351440429688,-252.7312164306641,239.92767333984372,212.1140289306641
2046,-154.4410400390625,-256.07467651367193,238.26341247558597,201.290771484375
2047,-144.0515899658203,-245.4907684326172,246.70811462402344,217.1741180419922
2048,-126.20853424072266,-245.0045928955078,257.3780517578125,223.8872375488281
2049,-138.49037170410156,-250.2030487060547,246.3939514160156,210.7938537597656
2050,-140.48373413085938,-252.9256896972656,242.1940460205078,197.0871124267578
2051,-130.96568298339844,-248.73326110839844,250.13011169433597,204.57066345214844
2052,-112.88327026367188,-237.4911193847656,258.53741455078125,211.72882080078125
2053,-132.05400085449222,-250.26287841796875,246.1508636474609,193.00314331054688
2054,-134.10720825195312,-257.63796997070307,240.8850860595703,185.1792755126953
2055,-124.8472137451172,-259.7322998046875,242.2725830078125,197.0796356201172
2056,-116.52593231201172,-251.9159240722656,255.5791473388672,216.10824584960938
2057,-128.23182678222656,-262.33154296875,236.5467987060547,193.8184509277344
