,T7,F8,Cz,P4
2000,-163.99835205078125,145.26705932617188,188.43112182617188,-41.5035400390625
2001,-154.64112854003906,172.9161376953125,195.9296112060547,-35.23546600341797
2002,-165.48683166503906,121.03250885009766,174.2868194580078,-63.68862533569336
2003,-139.38607788085938,159.93869018554688,205.0587158203125,-30.534412384033203
2004,-152.91702270507812,154.91226196289062,198.88414001464844,-36.15922164916992
2005,-159.312255859375,133.29937744140622,188.71534729003903,-45.00408554077149
2006,-151.60806274414062,146.0337371826172,196.2138519287109,-30.313758850097656
2007,-145.4596710205078,167.6653289794922,205.53741455078125,-18.693889617919922
2008,-151.49586486816406,150.70114135742188,199.6059417724609,-21.92516326904297
2009,-151.10317993164062,142.10684204101562,190.0430145263672,-19.483009338378906
2010,-162.09100341796875,139.58988952636722,186.6621398925781,-20.556360244750977
2011,-146.79481506347656,159.5796661376953,197.1376037597656,-10.372612953186037
2012,-152.51686096191406,150.6300811767578,188.2216796875,-22.07476043701172
2013,-166.3170928955078,143.27743530273438,187.14085388183597,-29.128210067749023
2014,-159.6488494873047,147.1968536376953,183.3822479248047,-35.889949798583984
2015,-160.5352020263672,136.62789916992188,185.9066925048828,-18.89958381652832
2016,-158.69891357421875,147.5745849609375,185.91416931152344,-25.137737274169922
2017,-165.1203155517578,131.242431640625,181.83767700195312,-58.54252243041992
2018,-155.02259826660156,138.95785522460938,185.65985107421875,-46.01385879516602
2019,-141.07276916503906,172.628173828125,197.20118713378903,-34.41268920898437
2020,-141.47293090820312,148.09068298339844,195.2676544189453,-29.509679794311523
2021,-168.56103515625,155.51438903808594,187.69810485839844,-37.11289596557617
2022,-154.03900146484375,161.25140380859375,199.47129821777344,-21.19588279724121
2023,-147.8270263671875,155.57797241210938,202.99429321289062,-15.496275901794435
2024,-147.69613647460938,153.120849609375,200.8064422607422,-16.734182357788086
2025,-155.82293701171875,175.2161865234375,205.4177398681641,-10.660584449768066
2026,-162.7604522705078,148.99948120117188,191.5726318359375,-22.231834411621094
2027,-142.29197692871094,138.50532531738278,202.07054138183597,-10.578307151794434
2028,-157.47596740722656,141.3513946533203,190.07667541503903,-20.17489051818848
2029,-168.8452606201172,136.17536926269528,180.95880126953125,-27.475175857543945
2030,-164.94081115722656,134.95616149902344,181.72547912597656,-32.96908950805664
2031,-139.39729309082028,159.75169372558594,199.73683166503903,-14.2022705078125
2032,-161.3018798828125,126.97895050048828,179.4441375732422,-41.5558967590332
2033,-165.94309997558594,126.3992691040039,181.0186309814453,-42.36371612548828
2034,-158.02198791503906,127.83164978027344,174.66455078125,-46.47760772705078
2035,-149.6147003173828,143.83094787597656,182.1593017578125,-38.92675018310547
2036,-156.7205047607422,151.70343017578125,181.4748992919922,-38.08526992797852
2037,-162.67816162109375,146.7144012451172,181.3926239013672,-19.221216201782227
2038,-163.3887481689453,131.97920227050778,172.38320922851562,-62.7536506652832
2039,-146.67514038085938,156.34091186523438,191.37815856933597,-28.87763786315918
2040,-153.13394165039062,168.69754028320312,191.8194732666016,-30.36611747741699
2041,-158.9756622314453,138.68110656738278,196.9094696044922,-26.80573272705078
2042,-159.0242919921875,153.1993865966797,196.1540069580078,-32.62501907348633
2043,-146.71253967285156,163.19989013671875,203.67495727539062,-13.652504920959473
2044,-147.92800903320312,142.01708984375,200.8214111328125,-20.343185424804688
2045,-175.23675537109375,130.99560546875,179.489013671875,-33.455276489257805
2046,-161.95262145996094,134.8514404296875,184.8408203125,-25.953035354614254
2047,-149.7381134033203,152.32424926757812,192.0027313232422,-19.38203239440918
2048,-162.77540588378906,125.53909301757812,174.85154724121094,-29.61813735961914
2049,-166.42181396484375,125.05664825439452,178.40818786621094,-33.64974975585937
2050,-163.49720764160156,134.81777954101562,179.7919464111328,-30.45213508605957
2051,-151.3574981689453,129.30517578125,185.1923675537109,-35.085872650146484
2052,-143.2867889404297,146.10105895996094,184.5902404785156,-34.992374420166016
2053,-177.51060485839844,114.66345977783205,160.5426788330078,-57.18867874145508
2054,-152.13912963867188,140.63333129882812,173.01150512695312,-42.49461364746094
2055,-159.29356384277344,145.56625366210938,178.66624450683594,-41.54841995239258
2056,-138.05093383789062,182.98394775390625,199.2992706298828,-24.37853813171387
2057,-163.1232147216797,121.91513061523438,175.74163818359375,-49.4508285522461
2058,-159.83584594726562,141.2504119873047,191.43052673339844,-35.740352630615234
2059,-136.53627014160156,163.12509155273438,198.22592163085938,-28.85519790649414
2060,-141.01666259765625,155.52186584472656,202.29867553710938,-24.872203826904297
2061,-145.09689331054688,142.1891326904297,205.7094573974609,-17.160530090332028
2062,-155.50877380371094,149.54925537109375,194.6206512451172,-26.66735649108887
2063,-142.54254150390625,168.9368896484375,205.1858673095703,-24.535614013671875
2064,-141.2859344482422,175.76968383789062,211.7269592285156,-16.109619140625
2065,-157.281494140625,129.44354248046878,193.233154296875,-39.59244918823242
2066,-159.60023498535156,138.70353698730472,191.9989776611328,-39.47277450561523
2067,-139.87974548339844,145.31568908691406,201.95460510253903,-24.04194641113281
2068,-143.59719848632812,171.1396942138672,205.02505493164062,-14.63235855102539
2069,-150.77032470703125,128.02986145019528,192.36175537109372,-23.37998390197754
2070,-153.0703582763672,130.09054565429688,188.0683441162109,-21.207101821899414
2071,-148.61988830566406,151.5538330078125,196.34100341796875,-16.876298904418945
2072,-158.45208740234375,135.30023193359378,182.3051605224609,-23.18924903869629
2073,-166.33204650878906,128.47117614746094,180.48757934570312,-28.103477478027344
2074,-164.48828125,131.40325927734378,184.16763305664062,-24.78618621826172
2075,-146.0879669189453,161.81985473632812,199.9986267089844,-10.877498626708984
2076,-153.19752502441406,139.74697875976562,194.8824462890625,-14.43040370941162
2077,-157.56198120117188,118.1453094482422,186.4938507080078,-25.46684837341309
2078,-162.33035278320312,142.3125457763672,183.4009552001953,-50.75979232788086
2079,-129.18362426757812,154.8187713623047,218.26055908203125,-16.670604705810547
2080,-136.20341491699222,178.12208557128906,210.8218994140625,-16.977275848388672
2081,-151.342529296875,122.943603515625,188.7789306640625,-33.19722366333008
2082,-157.31141662597656,134.15582275390622,194.7964324951172,-32.09769058227539
2083,-143.9188232421875,150.77220153808594,205.0138397216797,-18.043148040771484
2084,-152.67019653320312,139.58615112304688,196.2325439453125,-25.02554130554199
2085,-147.49790954589844,141.4673309326172,195.71270751953125,-29.850011825561523
2086,-152.71881103515625,154.42608642578125,193.38275146484372,-35.86376953125
2087,-156.35400390625,144.4667205810547,184.60894775390625,-28.15209770202637
2088,-151.71278381347656,135.30770874023438,190.83213806152344,-20.50026130676269
2089,-157.4610137939453,121.87399291992188,181.66189575195312,-35.05221176147461
2090,-163.53460693359375,122.5022964477539,168.96493530273438,-27.83046531677246
2091,-143.1259765625,144.55274963378906,179.21600341796875,-16.165718078613278
2092,-151.95960998535156,131.16015625,174.2456817626953,-24.288780212402344
2093,-152.71881103515625,135.54331970214844,178.71485900878906,-14.497722625732422
2094,-153.2947540283203,134.87762451171878,182.0246734619141,-16.981016159057614
2095,-144.83135986328125,173.7351837158203,184.1264953613281,-10.832620620727539
2096,-151.63424682617188,120.8567352294922,183.96942138671875,-22.14955711364746
2097,-155.77804565429688,143.27743530273438,182.9372100830078,-12.777368545532227
2098,-155.44146728515625,133.1610107421875,187.0024719238281,-40.51994705200195
2099,-132.98710632324222,156.71490478515625,210.37684631347656,-21.93638229370117
2100,-139.816162109375,145.43536376953125,197.87811279296875,-32.632495880126946
2101,-156.35400390625,135.67422485351562,187.8439483642578,-47.14704895019531
2102,-144.86502075195312,154.54202270507812,195.8997039794922,-40.78921890258789
2103,-134.76728820800778,164.07127380371094,205.81044006347656,-26.902971267700195
2104,-146.11041259765625,167.8485870361328,197.53778076171875,-30.732627868652344
2105,-154.79820251464844,135.22543334960938,186.9949951171875,-33.25706100463867
2106,-131.39390563964844,137.71620178222656,193.3603057861328,-22.3477725982666
2107,-151.69407653808594,141.52716064453125,189.6129302978516,-22.41883087158203
2108,-158.35110473632812,149.57542419433594,184.0554351806641,-22.658184051513672
2109,-158.5044403076172,121.76927185058594,175.27041625976562,-31.17393684387207
2110,-158.19029235839844,121.21576690673828,167.7532196044922,-27.06004524230957
2111,-146.24130249023438,145.40170288085938,177.92947387695312,-12.10792636871338
2112,-154.58502197265625,138.07150268554688,167.7195587158203,-17.893550872802734
2113,-167.9589080810547,138.13880920410156,174.63088989257812,-17.351264953613278
2114,-164.6154327392578,135.98089599609378,176.98703002929688,-22.07476043701172
2115,-143.2119903564453,149.11167907714844,185.91043090820312,-16.120838165283207
2116,-159.0504608154297,148.2515106201172,188.8686828613281,-10.98969554901123
2117,-162.76792907714844,126.50772857666016,178.9803924560547,-33.07006454467773
2118,-154.2259979248047,145.9290313720703,190.6451416015625,-39.2035026550293
2119,-128.80589294433594,168.5591583251953,207.9309539794922,-28.60088539123535
2120,-141.39813232421875,159.99853515625,203.3907165527344,-43.20519256591797
2121,-147.0603485107422,160.72781372070312,197.2348480224609,-55.43466567993164
2122,-150.85260009765625,200.07530212402344,205.3018035888672,-53.6881332397461
2123,-122.1937484741211,135.20672607421878,215.0966033935547,-43.67642211914063
2124,-145.7962646484375,142.85108947753906,201.0757141113281,-48.55699157714844
2125,-136.21463012695312,151.61741638183594,198.77194213867188,-52.79429626464844
2126,-147.63629150390625,148.3375244140625,197.14881896972656,-39.19227981567383
2127,-138.23043823242188,160.17803955078125,201.63296508789062,-25.86701774597168
2128,-148.78443908691406,153.2554931640625,201.0233612060547,-23.49966049194336
2129,-164.25267028808594,138.27345275878906,185.8879852294922,-34.558544158935554
2130,-158.7288360595703,125.0940399169922,181.5085601806641,-34.18829727172852
2131,-137.68815612792972,152.4925537109375,199.30674743652344,-18.697629928588867
2132,-150.31031799316406,140.62959289550778,183.13916015625,-24.187803268432614
2133,-150.6581268310547,145.60739135742188,189.44088745117188,-22.848918914794922
2134,-162.9474334716797,141.65432739257812,184.31723022460938,-25.19757652282715
2135,-145.0295867919922,154.46722412109375,198.5774688720703,-17.321346282958984
2136,-153.11524963378906,145.42039489746094,188.1431427001953,-33.27576065063477
2137,-151.60806274414062,153.0946807861328,193.65576171875,-42.37493515014648
2138,-141.18870544433594,157.42547607421875,197.43679809570312,-40.4189682006836
2139,-130.81422424316406,169.0303955078125,211.4053192138672,-37.23257446289063
2140,-133.64158630371094,143.1652374267578,208.40966796875,-29.37130355834961
2141,-145.47462463378906,143.69630432128906,201.60304260253903,-61.90469360351562
2142,-149.79421997070312,147.80645751953125,195.5182342529297,-57.1026611328125
2143,-138.78768920898438,159.76666259765625,205.45887756347656,-37.54672622680664
2144,-146.97433471679688,150.94422912597656,193.0536346435547,-42.10566329956055
2145,-152.0269317626953,155.63406372070312,193.37152099609372,-44.09529113769531
2146,-152.9581756591797,142.2377471923828,182.76890563964844,-49.63782119750977
2147,-136.48765563964844,154.53079223632812,194.66552734375,-25.2237548828125
2148,-145.64292907714844,157.00660705566406,193.33038330078125,-24.210243225097656
2149,-170.1729278564453,129.48094177246094,178.97665405273438,-38.44804000854492
2150,-155.00015258789062,145.21096801757812,186.7930450439453,-31.712482452392575
2151,-143.64207458496094,134.01744079589844,195.4770965576172,-18.21144294738769
2152,-151.8062744140625,141.35513305664062,193.62957763671875,-16.891258239746097
2153,-157.4497833251953,135.7078857421875,188.67794799804688,-24.86098480224609
2154,-155.0712127685547,151.4341583251953,195.55563354492188,-22.968595504760746
2155,-155.2021026611328,136.12675476074222,192.036376953125,-25.04050064086914
2156,-140.7473907470703,158.36045837402344,208.0805511474609,-14.138691902160645
2157,-134.59152221679688,135.88365173339844,203.26730346679688,-34.285533905029304
2158,-153.65005493164062,134.79908752441406,191.84564208984372,-39.92904281616211
2159,-145.10438537597656,153.50979614257812,199.2656097412109,-34.73432159423828
2160,-148.0289764404297,150.33462524414062,196.65890502929688,-39.427894592285156
2161,-153.92306518554688,157.2384796142578,198.3119354248047,-21.96256256103516
2162,-148.43663024902344,168.4357452392578,198.7046203613281,-42.98828125
2163,-132.93099975585938,160.245361328125,203.58518981933597,-28.07355880737305
2164,-148.27207946777344,159.25428771972656,195.91465759277344,-28.582185745239254
2165,-174.38031005859375,121.81040954589844,174.51495361328125,-41.53719711303711
2166,-150.7404022216797,131.79220581054688,184.8370819091797,-24.352357864379886
2167,-146.1702423095703,147.18563842773438,193.2406311035156,-6.786048412322997
2168,-157.6068572998047,143.08670043945312,184.99789428710938,-10.4287109375
2169,-175.31529235839844,139.45152282714844,171.34352111816406,-21.237022399902344
2170,-173.11248779296875,138.4193115234375,175.592041015625,-23.98584747314453
2171,-151.54074096679688,146.14967346191406,195.2265167236328,-7.754682540893555
2172,-161.10366821289062,143.8384246826172,184.26112365722656,-24.034467697143555
2173,-158.7101287841797,135.07209777832028,183.561767578125,-31.47686767578125
2174,-144.7790069580078,144.91177368164062,197.57144165039062,-21.611011505126953
2175,-147.81581115722656,148.47215270996094,195.24522399902344,-17.949649810791016
2176,-150.837646484375,136.82237243652344,189.9345550537109,-28.125917434692386
2177,-172.51036071777344,130.21022033691406,184.3359222412109,-35.085872650146484
2178,-155.91268920898438,145.36056518554688,193.221923828125,-27.800546646118164
2179,-143.63833618164062,170.47398376464844,200.5259552001953,-26.196128845214844
2180,-147.19871520996094,134.9337158203125,188.1468811035156,-36.1330451965332
2181,-150.6207275390625,146.11227416992188,188.20672607421875,-45.46035385131836
2182,-157.59938049316406,144.33209228515625,192.96014404296875,-47.64445495605469
2183,-138.42117309570312,158.56988525390625,210.4404296875,-22.272974014282227
2184,-157.5245819091797,155.23764038085938,196.13157653808597,-49.33863067626953
2185,-163.24288940429688,129.44354248046878,190.9443359375,-48.7701644897461
